annee;trimestre;dernier_jour_du_mois;duree_de_contrat;nature_de_contrat;dpae_brut;dpae_cvs
2000;1;2000-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;277583;325179
2000;1;2000-01-31;Contrat de plus d'un mois;CDI;279183;226857
2000;1;2000-02-29;Contrat de plus d'un mois;CDD de plus d'un mois;222149;322392
2000;1;2000-02-29;Contrat de plus d'un mois;CDI;221342;229998
2000;1;2000-03-31;Contrat de plus d'un mois;CDI;247681;239711
2000;2;2000-06-30;Contrat de plus d'un mois;CDI;248269;280109
2000;4;2000-10-31;Contrat de plus d'un mois;CDI;381948;296338
2001;1;2001-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;268807;311907
2001;1;2001-01-31;Contrat de plus d'un mois;CDI;372134;299940
2001;1;2001-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;206506;318733
2001;1;2001-02-28;Contrat de plus d'un mois;CDI;283082;301328
2001;1;2001-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;248200;308338
2001;1;2001-03-31;Contrat de plus d'un mois;CDI;295593;290891
2001;2;2001-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;273462;306422
2001;2;2001-04-30;Contrat de plus d'un mois;CDI;290387;290164
2001;2;2001-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;265134;310270
2001;3;2001-09-30;Contrat de plus d'un mois;CDI;373760;274861
2001;4;2001-11-30;Contrat de plus d'un mois;CDI;268226;267576
2001;4;2001-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;210509;314521
2002;1;2002-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;189591;294355
2002;2;2002-04-30;Contrat de plus d'un mois;CDI;278875;272322
2002;2;2002-05-31;Contrat de plus d'un mois;CDI;231547;267938
2002;2;2002-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;384590;291789
2002;3;2002-07-31;Contrat de plus d'un mois;CDI;238603;264306
2002;3;2002-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;179941;289539
2002;3;2002-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;425106;290411
2002;4;2002-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;232592;289382
2002;4;2002-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;190245;270681
2003;2;2003-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;235884;276837
2003;2;2003-05-31;Contrat de plus d'un mois;CDI;209372;236811
2003;2;2003-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;452916;341072
2003;4;2003-12-31;Contrat de plus d'un mois;CDI;203299;244588
2004;1;2004-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;250277;294500
2004;2;2004-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;258403;298297
2004;3;2004-08-31;Contrat de plus d'un mois;CDI;174756;245874
2004;3;2004-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;442955;300083
2005;1;2005-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;248211;310418
2005;2;2005-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;275225;313923
